"nest_id","maleplumage","season","laying_date","lay_day","november"
"LSP1819034","brown","2018_19","04/01/2019",65,"01/11/2018"
"LSP1819039","black-white","2018_19","08/01/2019",69,"01/11/2018"
"LSP1819040","brown","2018_19","12/01/2019",73,"01/11/2018"
"LSP1819046","black-white","2018_19","18/01/2019",79,"01/11/2018"
"LSP1819051","brown","2018_19","16/01/2019",77,"01/11/2018"
"LSP1819052","black-white","2018_19","15/01/2019",76,"01/11/2018"
"LSP1819053","black-white","2018_19","14/01/2019",75,"01/11/2018"
"LSP1819054","black-white","2018_19","15/01/2019",76,"01/11/2018"
"LSP1819055","black-white","2018_19","14/01/2019",75,"01/11/2018"
"LSP1819059","black-white","2018_19","17/01/2019",78,"01/11/2018"
"LSP1819064","brown","2018_19","21/01/2019",82,"01/11/2018"
"LSP1819068","black-white","2018_19","16/01/2019",77,"01/11/2018"
"LSP1819073","black-white","2018_19","22/01/2019",83,"01/11/2018"
"LSP1819077","black-white","2018_19","23/01/2019",84,"01/11/2018"
"LSP1819080","black-white","2018_19","25/01/2019",86,"01/11/2018"
"LSP1819081","brown","2018_19","27/01/2019",88,"01/11/2018"
"LSP1819085","black-white","2018_19","30/01/2019",91,"01/11/2018"
"LSP1819090","black-white","2018_19","25/01/2019",86,"01/11/2018"
"LSP1819093","black-white","2018_19","13/02/2019",105,"01/11/2018"
"LSP1819096","black-white","2018_19","12/02/2019",104,"01/11/2018"
"LSP1819097","black-white","2018_19","09/02/2019",101,"01/11/2018"
"LSP1819100","brown","2018_19","18/02/2019",110,"01/11/2018"
"LSP1819101","black-white","2018_19","11/02/2019",103,"01/11/2018"
"LSP1819107","black-white","2018_19","19/02/2019",111,"01/11/2018"
"LSP1819108","black-white","2018_19","23/02/2019",115,"01/11/2018"
"LSP1819111","black-white","2018_19","22/02/2019",114,"01/11/2018"
"LSP1819112","black-white","2018_19","07/03/2019",127,"01/11/2018"
"LSP1819113","black-white","2018_19","23/02/2019",115,"01/11/2018"
"LSP1819114","black-white","2018_19","25/02/2019",117,"01/11/2018"
"LSP1819116","black-white","2018_19","25/02/2019",117,"01/11/2018"
"LSP1819119","black-white","2018_19","01/03/2019",121,"01/11/2018"
"LSP1819122","black-white","2018_19","24/02/2019",116,"01/11/2018"
"LSP1819123","black-white","2018_19","06/03/2019",126,"01/11/2018"
"LSP1819124","black-white","2018_19","28/02/2019",120,"01/11/2018"
"LSP1819126","black-white","2018_19","03/03/2019",123,"01/11/2018"
"LSP1819129","black-white","2018_19","07/03/2019",127,"01/11/2018"
"LSP1819131","black-white","2018_19","10/03/2019",130,"01/11/2018"
"LSP1819136","black-white","2018_19","08/03/2019",128,"01/11/2018"
"LSP1819137","black-white","2018_19","06/03/2019",126,"01/11/2018"
"LSP1819141","black-white","2018_19","08/03/2019",128,"01/11/2018"
"LSP1819143","black-white","2018_19","15/03/2019",135,"01/11/2018"
"LSP1819147","black-white","2018_19","16/03/2019",136,"01/11/2018"
"LSP1819148","black-white","2018_19","19/03/2019",139,"01/11/2018"
"LSP1819152","black-white","2018_19","20/03/2019",140,"01/11/2018"
"LSP1819156","black-white","2018_19","28/03/2019",148,"01/11/2018"
"LSP1819157","black-white","2018_19","30/03/2019",150,"01/11/2018"
"LSP1819158","black-white","2018_19","31/03/2019",151,"01/11/2018"
"LSP1819159","black-white","2018_19","08/04/2019",159,"01/11/2018"
"LSP1819160","black-white","2018_19","15/04/2019",166,"01/11/2018"
"LSP1920002","black-white","2019_20","24/12/2019",54,"01/11/2019"
"LSP1920003","black-white","2019_20","24/12/2019",54,"01/11/2019"
"LSP1920004","black-white","2019_20","30/12/2019",60,"01/11/2019"
"LSP1920007","black-white","2019_20","23/12/2019",53,"01/11/2019"
"LSP1920009","black-white","2019_20","26/12/2019",56,"01/11/2019"
"LSP1920010","black-white","2019_20","26/12/2019",56,"01/11/2019"
"LSP1920011","black-white","2019_20","25/12/2019",55,"01/11/2019"
"LSP1920012","black-white","2019_20","27/12/2019",57,"01/11/2019"
"LSP1920013","black-white","2019_20","23/12/2019",53,"01/11/2019"
"LSP1920014","black-white","2019_20","26/12/2019",56,"01/11/2019"
"LSP1920016","black-white","2019_20","30/12/2019",60,"01/11/2019"
"LSP1920017","black-white","2019_20","19/12/2019",49,"01/11/2019"
"LSP1920018","black-white","2019_20","25/12/2019",55,"01/11/2019"
"LSP1920019","black-white","2019_20","03/01/2020",64,"01/11/2019"
"LSP1920020","black-white","2019_20","28/12/2019",58,"01/11/2019"
"LSP1920021","black-white","2019_20","02/01/2020",63,"01/11/2019"
"LSP1920022","black-white","2019_20","03/01/2020",64,"01/11/2019"
"LSP1920025","black-white","2019_20","05/01/2020",66,"01/11/2019"
"LSP1920026","brown","2019_20","03/01/2020",64,"01/11/2019"
"LSP1920027","brown","2019_20","31/12/2019",61,"01/11/2019"
"LSP1920029","black-white","2019_20","03/01/2020",64,"01/11/2019"
"LSP1920031","brown","2019_20","09/01/2020",70,"01/11/2019"
"LSP1920032","black-white","2019_20","04/01/2020",65,"01/11/2019"
"LSP1920033","black-white","2019_20","06/01/2020",67,"01/11/2019"
"LSP1920035","black-white","2019_20","06/01/2020",67,"01/11/2019"
"LSP1920037","brown","2019_20","09/01/2020",70,"01/11/2019"
"LSP1920038","black-white","2019_20","10/01/2020",71,"01/11/2019"
"LSP1920039","black-white","2019_20","09/01/2020",70,"01/11/2019"
"LSP1920040","black-white","2019_20","11/01/2020",72,"01/11/2019"
"LSP1920042","black-white","2019_20","07/01/2020",68,"01/11/2019"
"LSP1920044","black-white","2019_20","15/01/2020",76,"01/11/2019"
"LSP1920046","black-white","2019_20","09/01/2020",70,"01/11/2019"
"LSP1920048","black-white","2019_20","19/01/2020",80,"01/11/2019"
"LSP1920053","black-white","2019_20","17/01/2020",78,"01/11/2019"
"LSP1920054","black-white","2019_20","14/01/2020",75,"01/11/2019"
"LSP1920055","brown","2019_20","17/01/2020",78,"01/11/2019"
"LSP1920056","black-white","2019_20","19/01/2020",80,"01/11/2019"
"LSP1920058","black-white","2019_20","18/01/2020",79,"01/11/2019"
"LSP1920059","brown","2019_20","19/01/2020",80,"01/11/2019"
"LSP1920060","black-white","2019_20","25/01/2020",86,"01/11/2019"
"LSP1920061","black-white","2019_20","22/01/2020",83,"01/11/2019"
"LSP1920064","black-white","2019_20","23/01/2020",84,"01/11/2019"
"LSP1920066","black-white","2019_20","25/01/2020",86,"01/11/2019"
"LSP1920067","brown","2019_20","27/01/2020",88,"01/11/2019"
"LSP1920068","brown","2019_20","28/01/2020",89,"01/11/2019"
"LSP1920069","black-white","2019_20","29/01/2020",90,"01/11/2019"
"LSP1920071","black-white","2019_20","30/01/2020",91,"01/11/2019"
"LSP1920072","black-white","2019_20","29/01/2020",90,"01/11/2019"
"LSP1920073","black-white","2019_20","29/01/2020",90,"01/11/2019"
"LSP1920079","black-white","2019_20","01/02/2020",93,"01/11/2019"
"LSP1920080","black-white","2019_20","29/01/2020",90,"01/11/2019"
"LSP1920081","black-white","2019_20","03/02/2020",95,"01/11/2019"
"LSP1920082","black-white","2019_20","03/02/2020",95,"01/11/2019"
"LSP1920083","black-white","2019_20","31/01/2020",92,"01/11/2019"
"LSP1920084","brown","2019_20","06/02/2020",98,"01/11/2019"
"LSP1920088","brown","2019_20","09/02/2020",101,"01/11/2019"
"LSP1920089","black-white","2019_20","05/02/2020",97,"01/11/2019"
"LSP1920090","black-white","2019_20","08/02/2020",100,"01/11/2019"
"LSP1920093","black-white","2019_20","04/02/2020",96,"01/11/2019"
"LSP1920095","brown","2019_20","08/02/2020",100,"01/11/2019"
"LSP1920101","black-white","2019_20","16/02/2020",108,"01/11/2019"
"LSP1920102","black-white","2019_20","18/02/2020",110,"01/11/2019"
"LSP1920107","black-white","2019_20","26/02/2020",118,"01/11/2019"
"LSP1920110","black-white","2019_20","24/02/2020",116,"01/11/2019"
"LSP1920111","black-white","2019_20","03/03/2020",124,"01/11/2019"
"LSP1920113","black-white","2019_20","27/02/2020",119,"01/11/2019"
"LSP1920114","black-white","2019_20","03/03/2020",124,"01/11/2019"
"LSP1920115","black-white","2019_20","09/03/2020",130,"01/11/2019"
"LSP1920118","brown","2019_20","06/03/2020",127,"01/11/2019"
"LSP1920121","black-white","2019_20","07/03/2020",128,"01/11/2019"
"LSP1920122","black-white","2019_20","07/03/2020",128,"01/11/2019"
"LSP1920123","black-white","2019_20","10/03/2020",131,"01/11/2019"
"LSP1920125","black-white","2019_20","07/03/2020",128,"01/11/2019"
"LSP1920129","black-white","2019_20","13/03/2020",134,"01/11/2019"
"LSP1920131","black-white","2019_20","22/03/2020",143,"01/11/2019"
"LSP2021001","black-white","2020-21","21/12/2020",51,"01/11/2020"
"LSP2021002","black-white","2020-21","20/12/2020",50,"01/11/2020"
"LSP2021003","black-white","2020-21","22/12/2020",52,"01/11/2020"
"LSP2021004","black-white","2020-21","17/12/2020",47,"01/11/2020"
"LSP2021006","black-white","2020-21","19/12/2020",49,"01/11/2020"
"LSP2021008","black-white","2020-21","05/01/2021",66,"01/11/2020"
"LSP2021009","black-white","2020-21","24/12/2020",54,"01/11/2020"
"LSP2021011","black-white","2020-21","02/01/2021",63,"01/11/2020"
"LSP2021012","black-white","2020-21","24/12/2020",54,"01/11/2020"
"LSP2021014","black-white","2020-21","24/12/2020",54,"01/11/2020"
"LSP2021015","black-white","2020-21","24/12/2020",54,"01/11/2020"
"LSP2021016","black-white","2020-21","29/12/2020",59,"01/11/2020"
"LSP2021017","black-white","2020-21","23/12/2020",53,"01/11/2020"
"LSP2021018","black-white","2020-21","27/12/2020",57,"01/11/2020"
"LSP2021019","brown","2020-21","26/12/2020",56,"01/11/2020"
"LSP2021021","black-white","2020-21","23/12/2020",53,"01/11/2020"
"LSP2021022","black-white","2020-21","26/12/2020",56,"01/11/2020"
"LSP2021023","black-white","2020-21","28/12/2020",58,"01/11/2020"
"LSP2021025","brown","2020-21","03/01/2021",64,"01/11/2020"
"LSP2021026","black-white","2020-21","03/01/2021",64,"01/11/2020"
"LSP2021027","black-white","2020-21","30/12/2020",60,"01/11/2020"
"LSP2021028","brown","2020-21","03/01/2021",64,"01/11/2020"
"LSP2021031","brown","2020-21","04/01/2021",65,"01/11/2020"
