"odd_hatch","Incube_day","maleplumage","clutch_size","ring_number_female","season","incube_date","november"
1,91,"black-white",3,"UFVCAF000270","2019_20","31/01/2020","01/11/2019"
0,90,"black-white",2,"UFVCAF000120","2019_20","30/01/2020","01/11/2019"
0,90,"black-white",3,"UFVCAF000776","2019_20","30/01/2020","01/11/2019"
0,90,"black-white",2,"UFVCAF000756","2019_20","30/01/2020","01/11/2019"
0,89,"black-white",2,"UFVCAF000077","2017_2018","29/01/2018","01/11/2017"
1,89,"black-white",2,"UFVCAF000811","2021-22","29/01/2022","01/11/2021"
1,88,"black-white",2,"UFVCAF000358","2020-21","28/01/2021","01/11/2020"
0,86,"black-white",2,"UFVCAF000181","2018_19","26/01/2019","01/11/2018"
0,86,"black-white",2,"UFVCAF000329","2019_20","26/01/2020","01/11/2019"
1,85,"black-white",3,"UFVCAF000738","2019_20","25/01/2020","01/11/2019"
0,84,"black-white",2,"UFVCAF000070","2018_19","24/01/2019","01/11/2018"
1,84,"black-white",2,"UFVCAF000675","2021-22","24/01/2022","01/11/2021"
0,84,"black-white",3,"UFVCAF000803","2021-22","24/01/2022","01/11/2021"
0,83,"black-white",2,"UFVCAF000428","2021-22","23/01/2022","01/11/2021"
1,82,"black-white",2,"UFVCAF000597","2020-21","22/01/2021","01/11/2020"
0,82,"black-white",3,"UFVCAF000651","2021-22","22/01/2022","01/11/2021"
0,81,"black-white",2,"UFVCAF000201","2021-22","21/01/2022","01/11/2021"
1,80,"black-white",3,"D143340","2014_2015","20/01/2015","01/11/2014"
0,80,"black-white",2,"UFVCAF000714","2019_20","20/01/2020","01/11/2019"
1,80,"black-white",2,"UFVCAF000787","2019_20","20/01/2020","01/11/2019"
0,80,"black-white",2,"UFVCAF000655","2021-22","20/01/2022","01/11/2021"
1,79,"black-white",3,"UFVCAF000323","2019_20","19/01/2020","01/11/2019"
0,78,"black-white",2,"UFVCAF000258","2018_19","18/01/2019","01/11/2018"
0,78,"black-white",3," UFVCAF000237","2018_19","18/01/2019","01/11/2018"
1,78,"black-white",3,"UFVCAF000732","2020-21","18/01/2021","01/11/2020"
1,78,"black-white",2,"UFVCAF000510","2020-21","18/01/2021","01/11/2020"
1,76,"black-white",2,"UFVCAF000255","2018_19","16/01/2019","01/11/2018"
1,76,"black-white",3,"UFVCAF000363","2020-21","16/01/2021","01/11/2020"
1,75,"black-white",2,"UFVCAF000005","2017_2018","15/01/2018","01/11/2017"
1,75,"black-white",3,"UFVCAF000348","2019_20","15/01/2020","01/11/2019"
0,75,"black-white",3,"UFVCAF000555","2020-21","15/01/2021","01/11/2020"
