"nest_id","maleplumage","ring_female","cc_female","season","fate","base_date","attempt","laying_date","layingday"
"LSP2122003","black-white","UFVCAF000210","al db dg dg","2021-22",1,"01/11/2021",1,"09/12/2021",39
"LSP2122008","black-white","UFVCAF672","ye al dg dg","2021-22",0,"01/11/2021",1,"17/12/2021",47
"LSP2122012","black-white","UFVCAF000441","re al re pu","2021-22",1,"01/11/2021",1,"16/12/2021",46
"LSP2122014","black-white","ufvcaf000840","pu al db pu","2021-22",1,"01/11/2021",1,"18/12/2021",48
"LSP2122015","black-white","UFVCAF000444","re al ye pi","2021-22",0,"01/11/2021",1,"19/12/2021",49
"LSP2122017","black-white","UFVCAF000401","pu al db ye","2021-22",0,"01/11/2021",1,"19/12/2021",49
"LSP2122020","black-white","UFVCAF000525","ye ye og al","2021-22",0,"01/11/2021",1,"24/12/2021",54
"LSP2122021","black-white","ufvcaf000675","pu al pu bl","2021-22",1,"01/11/2021",1,"22/12/2021",52
"LSP2122025","brown","UFVCAF000273","al re pu pu","2021-22",0,"01/11/2021",1,"24/12/2021",54
"LSP2122027","black-white","UFVCAF000669","bl al bl ye","2021-22",0,"01/11/2021",1,"21/12/2021",51
"LSP2122048","black-white","UFVCAF000429","ye al pu bl","2021-22",0,"01/11/2021",1,"16/01/2022",77
"LSP2122059","black-white","UFVCAF000495","ye al pi dg","2021-22",0,"01/11/2021",1,"14/01/2022",75
"LSP2122067","black-white","UFVCAF000655","pu al db bl","2021-22",0,"01/11/2021",1,"19/01/2022",80
"LSP2122070","black-white","UFVCAF000803","pi al ye ye","2021-22",0,"01/11/2021",1,"22/01/2022",83
"LSP2122071","black-white","UFVCAF000428","ye al re wh","2021-22",0,"01/11/2021",1,"23/01/2022",84
"LSP2122073","brown","UFVCAF000659","ye al ye db","2021-22",0,"01/11/2021",1,"23/01/2022",84
"LSP2122080","brown","UFVCAF000656","ye al bl wh","2021-22",0,"01/11/2021",1,"21/01/2022",82
"LSP2122081","brown","UFVCAF000510","wh re og al","2021-22",0,"01/11/2021",1,"23/01/2022",84
"LSP2122082","brown","UFVCAF000660","pu al pu og","2021-22",0,"01/11/2021",1,"24/01/2022",85
"LSP2122085","black-white","UFVCAF000811","wh og og al","2021-22",1,"01/11/2021",1,"29/01/2022",90
"LSP2223006","black-white","UFVCAF000441","RE AL RE PU","2022-23",1,"01/11/2022",1,"18/12/2022",48
"LSP2223007","black-white","UFVCAF000605","OG AL PU YE","2022-23",0,"01/11/2022",1,"23/12/2022",53
"LSP2223012","black-white","UFVCAF1399","DG AL BL RE","2022-23",1,"01/11/2022",1,"22/12/2022",52
"LSP2223016","black-white","UFVCAF1389","OG AL RE RE","2022-23",0,"01/11/2022",1,"24/12/2022",54
"LSP2223022","brown","UFVCAF1301","OG AL BL BL","2022-23",0,"01/11/2022",1,"03/01/2023",64
"LSP2223024","brown","UFVCAF1305","OG AL WH OG","2022-23",0,"01/11/2022",1,"08/01/2023",69
"LSP2223032","black-white","UFVCAF000465","RE AL PU PU","2022-23",1,"01/11/2022",1,"24/01/2023",85
"LSP2223038","black-white","UFVCAF1394","OG AL PI DG","2022-23",0,"01/11/2022",1,"22/01/2023",83
"LSP2223040","black-white","UFVCAF1313","OG AL PU PU","2022-23",0,"01/11/2022",1,"21/01/2023",82
"LSP2223060","black-white","UFVCAF000456","DG AL DG DG","2022-23",0,"01/11/2022",1,"03/02/2023",95
