"nest_id","success","plumage","layday","laydate","season","fail_date","fledge_date","fail_fledge_date","ring_female","nest_fate","november","Laying_Day"
"LSP1819010",0,"black-white",47,"17/12/2018","2018_19","31/12/2018","","31/12/2018","","depredated","01/11/2018",47
"LSP1819013",0,"brown",50,"20/12/2018","2018_19","25/12/2018","","25/12/2018","","depredated","01/11/2018",50
"LSP1819031",0,"black-white",54,"24/12/2018","2018_19","03/01/2019","","03/01/2019","UFVCAF000172","depredated","01/11/2018",54
"LSP1819032",0,"brown",63,"02/01/2019","2018_19","15/01/2019","","15/01/2019","UFVCAF000195","abandoned","01/11/2018",63
"LSP1819040",0,"brown",73,"12/01/2019","2018_19","31/01/2019","","31/01/2019","UFVCAF000260","depredated","01/11/2018",73
"LSP1819046",0,"black-white",79,"18/01/2019","2018_19","24/01/2019","","24/01/2019","","abandoned","01/11/2018",79
"LSP1819051",0,"brown",77,"16/01/2019","2018_19","20/01/2019","","20/01/2019","","abandoned","01/11/2018",77
"LSP1819052",0,"black-white",76,"15/01/2019","2018_19","20/01/2019","","20/01/2019","","depredated","01/11/2018",76
"LSP1819054",0,"black-white",76,"15/01/2019","2018_19","25/01/2019","","25/01/2019","","depredated","01/11/2018",76
"LSP1819059",0,"black-white",78,"17/01/2019","2018_19","27/01/2019","","27/01/2019","UFVCAF000258","depredated","01/11/2018",78
"LSP1819068",0,"black-white",77,"16/01/2019","2018_19","21/01/2019","","21/01/2019"," UFVCAF000237","depredated","01/11/2018",77
"LSP1819073",0,"black-white",83,"22/01/2019","2018_19","08/02/2019","","08/02/2019","","depredated","01/11/2018",83
"LSP1819077",0,"black-white",84,"23/01/2019","2018_19","31/01/2019","","31/01/2019","UFVCAF000070","abandoned","01/11/2018",84
"LSP1819080",0,"black-white",86,"25/01/2019","2018_19","10/02/2019","","10/02/2019","","depredated","01/11/2018",86
"LSP1819081",0,"brown",88,"27/01/2019","2018_19","31/01/2019","","31/01/2019","","depredated","01/11/2018",88
"LSP1819085",0,"black-white",91,"30/01/2019","2018_19","10/02/2019","","10/02/2019","UFVCAF000202","depredated","01/11/2018",91
"LSP1819090",0,"black-white",86,"25/01/2019","2018_19","07/02/2019","","07/02/2019","UFVCAF000181","unhatched","01/11/2018",86
"LSP1819096",0,"black-white",104,"12/02/2019","2018_19","14/02/2019","","14/02/2019","UFVCAF258","depredated","01/11/2018",104
"LSP1819097",0,"black-white",101,"09/02/2019","2018_19","15/02/2019","","15/02/2019","","depredated","01/11/2018",101
"LSP1819101",0,"black-white",103,"11/02/2019","2018_19","19/02/2019","","19/02/2019","","depredated","01/11/2018",103
"LSP1819107",0,"black-white",111,"19/02/2019","2018_19","02/03/2019","","02/03/2019","UFVCAF000181","depredated","01/11/2018",111
"LSP1819108",0,"black-white",115,"23/02/2019","2018_19","03/03/2019","","03/03/2019","UFVCAF000202","depredated","01/11/2018",115
"LSP1819111",0,"black-white",114,"22/02/2019","2018_19","01/03/2019","","01/03/2019","UFVCAF000281","depredated","01/11/2018",114
"LSP1819112",0,"black-white",127,"07/03/2019","2018_19","15/03/2019","","15/03/2019","UFVCAF000250","depredated","01/11/2018",127
"LSP1819116",0,"black-white",117,"25/02/2019","2018_19","11/03/2019","","11/03/2019","UFVCAF000204","depredated","01/11/2018",117
"LSP1819119",0,"black-white",121,"01/03/2019","2018_19","04/03/2019","","04/03/2019","UFVCAF000101","depredated","01/11/2018",121
"LSP1819122",0,"black-white",116,"24/02/2019","2018_19","03/03/2019","","03/03/2019","","depredated","01/11/2018",116
"LSP1819123",0,"black-white",126,"06/03/2019","2018_19","30/03/2019","","30/03/2019","UFVCAF000105","nestling_died","01/11/2018",126
"LSP1819124",0,"black-white",120,"28/02/2019","2018_19","18/03/2019","","18/03/2019","UFVCAF000172","depredated","01/11/2018",120
"LSP1819129",0,"black-white",127,"07/03/2019","2018_19","22/03/2019","","22/03/2019","","depredated","01/11/2018",127
"LSP1819136",0,"black-white",128,"08/03/2019","2018_19","12/03/2019","","12/03/2019","","depredated","01/11/2018",128
"LSP1819137",0,"black-white",126,"06/03/2019","2018_19","09/03/2019","","09/03/2019","","depredated","01/11/2018",126
"LSP1819141",0,"black-white",128,"08/03/2019","2018_19","29/03/2019","","29/03/2019","UFVCAF000266","depredated","01/11/2018",128
"LSP1819143",0,"black-white",135,"15/03/2019","2018_19","17/03/2019","","17/03/2019","","depredated","01/11/2018",135
"LSP1819148",0,"black-white",139,"19/03/2019","2018_19","25/03/2019","","25/03/2019","UFVCAF000212","depredated","01/11/2018",139
"LSP1819152",0,"black-white",140,"20/03/2019","2018_19","29/03/2019","","29/03/2019","UFVCAF000250","depredated","01/11/2018",140
"LSP1819156",0,"black-white",148,"28/03/2019","2018_19","08/04/2019","","08/04/2019","UFVCAF000212","depredated","01/11/2018",148
"LSP1819157",0,"black-white",150,"30/03/2019","2018_19","03/04/2019","","03/04/2019","","depredated","01/11/2018",150
"LSP1819159",0,"black-white",159,"08/04/2019","2018_19","12/04/2019","","12/04/2019","","depredated","01/11/2018",159
"LSP1819160",0,"black-white",166,"15/04/2019","2018_19","24/04/2019","","24/04/2019","","depredated","01/11/2018",166
"LSP1920003",0,"black-white",54,"24/12/2019","2019_20","26/12/2019","","26/12/2019","UFVCAF000280","depredated","01/11/2019",54
