date,year,avr_temp,max_temp,min_temp,avr_rH,max_rH,min_rH,avr_dewp,max_dewp,min_dewp,avr_hPa,max_hPa,min_hPa,avr_wind_vel,avr_radiation,tot_prec
07/01/2022,2022,21.32916667,24.6,20.2,0.92125,0.95,0.79,19.975,21.7,19.1,925.4625,926.9,924.2,0.754166667,413.3,47.2
03/03/2020,2020,20.50833333,24.4,18.2,0.9125,0.95,0.79,19.04166667,22.3,17.1,928.8708333,930.3,927,0.266666667,466.8461538,8.6
31/12/2021,2021,19.8875,22.8,17.9,0.910416667,0.95,0.79,18.3625,19.8,16.8,926.3833333,928.1,924.5,0.291666667,479.9857143,27.8
06/02/2015,2015,20.62083333,23.2,19.2,0.896666667,0.95,0.79,18.85833333,20.2,18.2,925.4166667,926.9,923.9,1.170833333,575.3230769,21.4
28/02/2020,2020,22.66666667,25,20.8,0.89875,0.94,0.79,20.87916667,22.5,19.7,930.0916667,932.1,927.6,0.195833333,592.0692308,13.4
10/01/2022,2022,20.79166667,24.1,19.5,0.917916667,0.95,0.78,19.39166667,21.3,18.6,926.5083333,927.7,924.7,0.941666667,373.8625,83.4
08/02/2015,2015,20.70416667,24.1,19.5,0.917083333,0.95,0.78,19.30416667,21.1,18.3,928.3375,929.9,927,1.291666667,828.5615385,0.2
15/01/2016,2016,22.3875,24.4,21.5,0.9125,0.95,0.78,20.85833333,21.5,20.1,926.4375,927.8,924.7,1.3625,455.56,30.2
09/09/2015,2015,18.375,20.4,16.6,0.905833333,0.95,0.78,16.7875,18.6,15.5,929.9875,933.4,926.3,0.791666667,386.0916667,48.4
08/11/2018,2018,19.37916667,21.6,17,0.905833333,0.94,0.78,17.80833333,19.1,15.7,930.8666667,932.5,928.9,0.766666667,357.8769231,44
13/01/2016,2016,22.0625,24.7,21,0.904166667,0.94,0.78,20.41666667,21.5,19.7,926.9708333,928.7,924.5,1.241666667,568.6428571,8.6
17/04/2019,2019,21.70833333,26.5,19.2,0.885833333,0.93,0.78,19.71666667,22.8,17.9,928.7375,930.4,927,0.783333333,897.4333333,40.4
22/05/2017,2017,20.325,27.3,16.3,0.8825,0.93,0.78,18.27916667,24,15.2,931.525,933.2,929.2,0.35,861.7416667,0.6
07/02/2021,2021,20.09166667,24,18.7,0.931666667,0.96,0.77,18.95,21,17.8,926.5416667,928.7,924.5,0.529166667,401.8428571,88.6
11/04/2013,2013,20.57083333,23.2,19,0.905,0.96,0.77,18.92916667,20.2,18.2,931.4958333,933.9,930,0.5375,643.0583333,4.2
13/11/2016,2016,20.5125,23.2,18.8,0.904166667,0.95,0.77,18.85,20.4,18,927.4583333,929.4,925,0.691666667,778.6428571,14.6
23/11/2017,2017,20.8625,23.2,19.5,0.894583333,0.95,0.77,19.01666667,20.1,17.8,927.9625,929.7,926.4,0.858333333,523.7642857,7.8
05/02/2018,2018,19.32916667,22.9,17.6,0.91625,0.94,0.77,17.91666667,20.1,16.5,925.3625,927.2,923.4,0.958333333,560.7153846,41.6
11/01/2013,2013,19.82916667,21.5,17.8,0.911666667,0.96,0.76,18.3,19.1,16.8,926.8791667,928.5,925.5,0.658333333,446.0214286,60
